"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Symbol-Front-Light";1;"LOGO";;;
2;"C3,C4";"0603C";2;"2.2uF";;;
3;"K4,K2";"easyC-connector";2;"easyC-SMD";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"C2";"0603C";1;"100n";;;
6;"JP1,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
7;",,,,,,,,,,,,,,";"buzzardLabel";15;"";;;
8;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
9;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
10;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
11;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
12;"U2";"LTR-507ALS-01";1;"LTR-507ALS-01";;;
13;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
14;"R4,R2,R3,R5,R1";"0603R";5;"10k";;;
15;"JP4";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
16;"JP3";"SMD_JUMPER_3_PAD_CONNECTED_RIGHT";1;"JUMPER_3_RIGHT";;;
17;"C1";"0603C";1;"4u7";;;
18;"U3";"SOT-23-5";1;"SE5218";;;
19;"U1";"SOT-363";1;"NMOS-DUAL";;;
20;"JP5";"SMD_JUMPER";1;"SMD_JUMPER";;;
21;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
22;"Ref**";"Version1.0.0.";1;"Val**";;;
23;"K1";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
24;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
